postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS70BZ,BS7,0BZ,BS7 0BZ,Bristol City Council,SolarPanels,,8,1,5,3.32
BS247HF,BS24,7HF,BS24 7HF,North Somerset Council,SolarPanels,,14,1,7,5.81
BA20HX,BA2,0HX,BA2 0HX,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS494QY,BS49,4QY,BS49 4QY,North Somerset Council,SolarPanels,,8,0,,3.32
BS352HY,BS35,2HY,BS35 2HY,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
GL128US,GL12,8US,GL12 8US,South Gloucestershire Council,SolarPanels,,10,1,12,4.15
BS320DU,BS32,0DU,BS32 0DU,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS481UH,BS48,1UH,BS48 1UH,North Somerset Council,SolarPanels,,15,1,7,6.23
BS354EE,BS35,4EE,BS35 4EE,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS494DQ,BS49,4DQ,BS49 4DQ,North Somerset Council,SolarPanels,,9,1,5,3.74
BS167AZ,BS16,7AZ,BS16 7AZ,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS93ST,BS9,3ST,BS9 3ST,Bristol City Council,SolarPanels,,4,1,7,1.66
BS79BG,BS7,9BG,BS7 9BG,Bristol City Council,SolarPanels,,10,1,7,4.15
BS94SB,BS9,4SB,BS9 4SB,Bristol City Council,SolarPanels,,19,1,7,7.89
BS200EE,BS20,0EE,BS20 0EE,North Somerset Council,SolarPanels,,8,0,,3.32
BS167AS,BS16,7AS,BS16 7AS,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS57RL,BS5,7RL,BS5 7RL,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS232HX,BS23,2HX,BS23 2HX,North Somerset Council,SolarPanels,,14,1,7,5.81
BS419DJ,BS41,9DJ,BS41 9DJ,North Somerset Council,SolarPanels,1,14,1,7,5.81
BS161GD,BS16,1GD,BS16 1GD,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BA13NR,BA1,3NR,BA1 3NR,Bath and North East Somerset Council,SolarPanels,,9,1,7,3.74
